PERIODO MAQUINA,TURNO,(F.D.),H.MUESTRAS,(TMPP),(HMDP),(TSP),(TPCP),H.REFORMA,H.ESP.URG,H.P.PROGRAMADA,(DP),OEE,,,PRODUCCION,DESP,VEL.,CAMBIO,RELAJE,MNTO.,ATASCOS,FALTAS PERSONA,N.P.ATEND,F.MOTIVO
PERIODO G-1019,     A
PERIODO G-1015,     A
PERIODO G-1034,     A
PERIODO G-1012,     A
PERIODO G-1013,     A
PERIODO G-1037,     A
PERIODO U-1,        A
PERIODO U2,         A
PERIODO TOTAL-TURNO

PERIODO G-1019,     B
PERIODO G-1015,     B
PERIODO G-1034,     B
PERIODO G-1012,     B
PERIODO G-1013,     B
PERIODO G-1037,     B
PERIODO U-1,        B
PERIODO U2,         B
PERIODO TOTAL-TURNO

PERIODO G-1019,   
PERIODO G-1015,   
PERIODO G-1034,   
PERIODO G-1012,   
PERIODO G-1013,   
PERIODO G-1037,   
PERIODO U-1,      
PERIODO U2,       
PERIODO TOTAL-TURNO
PERIODO TOTAL-CELULA


PERIODO MAJER-FA,   A
PERIODO R-2002,     A
PERIODO R-2001,     A
PERIODO R-2003,     A
PERIODO R-2004,     A
PERIODO WK-5,       A
PERIODO TOTAL-TURNO,

PERIODO MAJER-FA,   B
PERIODO R-2002,     B
PERIODO R-2001,     B
PERIODO R-2003,     B
PERIODO R-2004,     B
PERIODO WK-5,       B
PERIODO TOTAL-TURNO,

PERIODO MAJER-FA,  C,,,,8,,,,,,,,,0,0.0,98,,,,,,,,0:00
PERIODO R-2002,    C,,,,8,,,,,,,,,0,0.0,102,,,,,,,,0:00
PERIODO R-2001,    C,0.82,,1.43,8,,,,,8,0.76,,,44.247,4.3,117,,,,,,,,0:44
PERIODO R-2003,    C,0.95,,0.35,7.79,,,,0.21,7.79,0.91,,,51680,0.9,117,,,,,,,,0:21
PERIODO R-2004,    C,0.86,,1.06,7.4,,,,0.6,7.4,0.79,,,38733,5.5,107,,0.17,,,,,,0:45
PERIODO WK-5,      C,0.65,,2.72,8,,,,,4,0.58,,,67.231,9.4,215,0.21,0.31,,,,,,0:50
PERIODO TOTAL-TURNO,,0.82,,5.61,31.19,16,,,0.81,,,,,201.891,5.5,148,1:21,0:49,,,,,,2:41

PERIODO G-1024,     A,0.97,,0.27,8,,,,,8,0.94,,,58500,3.8,131,,,,,,,,0:16
PERIODO G-1018,     A,0.79,,1.67,8,,,,,8,0.6,,,34.508,16.4,110,,0:05,0.43,,,,,0:50
PERIODO G-1008,     A,0.84,,1.25,8,,,,,4,0.78,,,50678,7.0,131,0.15,,,,,,,0.34
PERIODO G-1026,     A,0.89,,0.91,8,,,,,4,0.85,,,53288,10.4,131,,,,,,,,0:04
PERIODO G-1029,     A,0.91,,0.71,8,,,,,4,0. Nine,,,56708,-2.3,122,,0.02,,,,,,0:04
PERIODO G-1032,     A,0.96,,0.36,7.09,,,,,0.91,3.54,0.95,,57232,1.4,131,1.17,,,,,,0.27,0:44
PERIODO G-1011,     A,0.95,,0.43,8,,,,,8,0.85,,,53288,10.4,133,,0:07,,,,,,0:06
PERIODO G-1027,     A,0.94,,0.49,8,,,,,8,0.99,,,57232,1.4,129,,,,,,,,0:00
PERIODO TOTAL-TURNO,,0.86,,8.66,64,,,,,,,,,405.723,4.6,128,1:40,,0.43,,,,,2:41

PERIODO G-1024,     B,0.95,,0.43,8,,,,,8,0.85,,,53288,10.4,131,,0:03,,,0:18,,,0:00
PERIODO G-1018,     B,0.93,,0.59,8,,,,,8,0.79,,,45636,6.4,110,,,,,0:19,,,0:00
PERIODO G-1008,     B,0.75,,2.02,8,,,,,4,0.71,,,44984,5.8,131,0.53,0:03,,,0:14,,0:38,0:00
PERIODO G-1026,     B,0.86,,1.08,8,,,,,4,0.81,,,50852,6.3,131,0.06,0:29,,,0:09,,,0:00
PERIODO G-1029,     B,0.85,,1.24,8,,,,,4,0.86,,,53568,-31.1,101,0:08,,,,0:40,,,0:00
PERIODO G-1032,     B,0.66,,2.72,8,,,,,4,0.64,,,37910,6.0,126,1:06,0:09,,,0.23,,0:47,0.12
PERIODO G-1011,     B,0.84,,1.26,8,,,,,8,0.77,,,49468,9.6,133,,0:35,,,0:28,,,0:00
PERIODO G-1027,     B,0.77,,1.87,8,,,,,4,0.78,,,46140,5.3,129,,,,,0:13,,1:21,0:02
PERIODO TOTAL-TURNO,,0.82,,11.21,64,,,,,,,,,381846,3.3,124,2:15,,,,2:37,,,0:15

PERIODO G-1024,    C,0.87,,1.02,8,,,,,8,0.85,,,55508,3.2,132,2:34,,,,0:1,,,0:03
PERIODO G-1018,    C,0.7,,2.39,8,,,,,8,0.55,,,35440,14.2,110,,0:40,,,,,,0:08,
PERIODO G-1008,    C,0.78,,1.74,8,,,,,8,0.74,,,47804,5.1,131,,,,0:06,,,,0:14,
PERIODO G-1026,    C,0.74,,2.04,8,,,,,8,0.71,,,47124,3.9,131,,,,,,,,1:05,
PERIODO G-1029,    C,0.83,,1.4,8,,,,,8,0.8,,,53168,-5.0,120,,,,,,,,0:27,
PERIODO G-1032,    C,0.68,,2.26,7.09,,,,,0.91,3.54,0.7,,36744,5.2,130,0:01,,,,,,,0:07,
PERIODO G-1011,    C,0.9,,0.76,7.53,,,,,0.47,7.53,0.89,,54468,3.1,133,,,,,,,,0:45,
PERIODO G-1027,    C,0.87,,1.04,8,,,,,8,0.9,,,53368,2.9,129,,,,,,,,0:32,
PERIODO TOTAL-TURNO,,0.8,,12.65,62.62,,,,,1.38,,,,1.171.193,3.9,127,4:12,2:13,1:14,0:06,2:38,,3:35,
PERIODO TOTAL-CELULA,,0.83,,32.52,190.62,,,,1.38,,,,,3.334.020,3.9,127,4:12,2:13,1:14,0:06,2.38,,3:35,6:00


PERIODO GR-1017,    A,0.56,,3.5,8,,,,,8,0.48,,,31286,13.0,129,2:34,,,,,,0:12,0:43
PERIODO G-1014,     A,0.82,,1.48,8,,,,,4,0.89,,,0,0.0,131,0:41,,,,,,,0:00
PERIODO G-1025,     A,0.87,,1.07,8,,,,,8,0.66,,,37916,4.3,95,,,,,,,,1:04
PERIODO G-1030,     A,0.82,,1.48,8,,0.42,,,4,0.89,,,47461,5.1,127,,0:41,,,,,,0:42
PERIODO GR-1008,    A,0.84,,1.29,8,,,,,8,0.78,,,46382,9.3,124,,0:26,,,,,,0:50
PERIODO TOTAL-TURNO,,0.77,,7.34,32,,,,,8,,,,163.045,7.7,119,3:13,,,,,,,3:20

PERIODO GR-1017,    B,0.81,,1.55,8,,,,,8,0.77,,,47662,4.2,129,,0:46,,,,,,0:00
PERIODO G-1014,     B,,,,8,,,,,,,,,0,0.0,131,,,,,,,,0:00
PERIODO G-1025,     B,0.86,,1.13,8,,,,,4,0.66,,,38293,2.7,95,0:01,,,,,,,0:12
PERIODO G-1030,     B,0.58,,3.33,8,,,,,4,0.58,,,31824,8.8,121,0:22,,,,,,,0:13
PERIODO GR-1008,    B,0.88,,0.97,8,,,,,8,0.87,,,49920,4.0,124,,,0:09,,,,,0:00
PERIODO TOTAL-TURNO,,0.78,,6.98,32,,,,,8,,,,167699,4.7,118,0:24,,,,,,1:05,0:26

PERIODO GR-1017,    C,0.81,,1.3,6.83,,,,,,,,,42744,1.6,129,0:47,,,,,,,0:03
PERIODO G-1014,     C,,,,,,,,,,,,,,,131,,,,,,,,0:00
PERIODO G-1025,     C,0.86,,1.1,8,,,,,,,,,38530,4.2,95,,0:07,,,,,,0:20
PERIODO G-1030,     C,0.94,,0.48,8,,,,,,,,,57780,2.6,129,,,,,,,,0:07
PERIODO GR-1008,    C,0.94,,0.47,7.69,,,,,,,,,50482,6.1,124,,0:03,,,,,,0:14
PERIODO TOTAL-TURNO  ,,0.89,,3.35,30.52,,8,,,1.48,,,,189536,3.6,121,0:47,0:10,,,,,,0:46
PERIODO TOTAL-CELULA ,,0.81,,17.67,94.52,,24,,,1.48,,,,520.280,5.3,120,4:27,1:33,,,,,0:12,4:00
PERIODO TOTAL-SECCION,,0.79,,105.7,500.19,120,24,,,3.81,,,,2.932.511,4.4,131,12:00,16:23,8:46,0:27,4:45,,9:44,18:00

Graficas OEE
Grafica OEE MAQUINA G-1019 
Grafica caps.totales turno y por célula