PERIODO MAQUINA,TURNO,(T.P.),H.MUESTRAS,(TMPP),(HMDP),(TSP),(TPCP),H.REFORMA,H.ESP.URG,H.P.PROGRAMADA,(DP),OEE,,,PRODUCCION,DESP,VEL.,CAMBIO,RELAJE,MNTO.,ATASCOS,FALTAS PERSONA,N.P.ATEND,F.MOTIVO
PERIODO G-1019,     A,  0.86,   ,  0.13,       8,,,,,      ,       8,   0.79,,,45.936,  3.6,    114,        ,   0:33,       ,,,,        0:34
PERIODO G-1015,     A,  0.8,    ,  1.64,       8,,,,,      ,       4,   0.76,,,47.484,  10.4,   132,    0:44,       ,       ,,,,        0:48
PERIODO G-1034,     A,     ,    ,      ,        ,,,,,     8,        ,       ,,,0,       10.4,   130,        ,       ,       ,,,,        0:00
PERIODO G-1012,     A,  0.45,   ,  4.41,       8,,,,,      ,       4,   0.39,,,26.834,  10.4,   131,    1:10,       ,   2;19,,, 0:39,   0:13
PERIODO G-1013,     A,  0.85,   ,  1.21,       8,,,,,      ,       4,   0.84,,,52.512,  10.4,   132,        ,       ,       ,,,,        0:22
PERIODO G-1037,     A,  0.87,   ,  1.06,       8,,,,,      ,       8,   0.82,,,51.540,  10.4,   130,        ,       ,   0:14,,,,        0:48
PERIODO U-1,        A,      ,   ,      ,        ,,,,,      ,        ,       ,,,0,       10.4,   132,        ,       ,       ,,,,        0:00
PERIODO U2,         A,  0.78,   ,  1.49,     6.9,,,,,   1.1,     6.9,   0.72,,,44.804,  9.4,    132,        ,       ,       ,,,,        1:29
PERIODO TOTAL-TURNO,A,  0.77,   ,  10.93,   46.9,8,,,,  9.1,        ,   0.72,,,269.110, 6.2,    129,    1:54,       ,   2:34,,,,        4:17

PERIODO G-1019,     B,  0.56,   ,  3.55,       8,,,,,      ,       4,   0.43,,,26.410,  14.1,  109,    0.01,      0:40,     ,,,2.01,    0:49
PERIODO G-1015,     B,  0.88,   ,  0.97,       8,,,,,      ,       8,   0.87,,,54.308,  2.5,   132,        ,      0.21,     ,,,,        0:36
PERIODO G-1034,     B,      ,   ,      ,        ,,,,,     8,        ,       ,,,0,       0.0,   130,        ,          ,     ,,,,        0:00
PERIODO G-1012,     B,  0.25,   ,     6,       8,,,,,      ,       8,   0.21,,,14.356,  16.7,   131,    1:02,     4.32,     ,,,,        0:25
PERIODO G-1013,     B,  0.81,   ,  1.51,       8,,,,,      ,       8,   0.77,,,47.840,  5.3,   131,         ,         ,     ,,,,        1:30
PERIODO G-1037,     B,  0.9,    ,  0.82,       8,,,,,      ,       4,   0.83,,,51.940,  7.6,   130,     0.16,         ,     ,,,,        0:26
PERIODO U-1,        B,      ,   ,      ,       ,,,,,        ,        ,       ,,,0,       10.4, 132,        ,          ,     ,,,,        0:00
PERIODO U2,         B,  0.79,   ,   1.6,     7.78,,,,,   0.22,   7.78,   0.73,,,45.116,  9.4,  132,        ,      0.10,     ,,,,        1:25
PERIODO TOTAL-TURNO,B,  0.7,    ,  14.44,  47.78,8,,,,   8.22,       ,   0.65,,,239.970, 6.2,  129,    1:54,          , 2:34,,,,        5:12

PERIODO G-1019,     C,  0.81,, 1.54,            8,,,,,          ,       8,      0.75,,, 43.510,     2.0,    115,    , 0.21,  ,,,,           1:10
PERIODO G-1015,     C,  0.9, ,  0.8,            8,,,,,          ,       8,      0.87,,, 54.408,     4.2,    132,    ,     ,  ,,,,           0:47
PERIODO G-1034,     C,      ,,     ,,,,,             ,   8      ,       ,,,,                0.0,    0,      130,    ,     ,  ,,,,           0:00
PERIODO G-1012,     C,  0.25,,    8,            8,,,,,          ,       8,      0.21,,,     0,      100.0,  132,    ,     ,  8,,,       ,   0:00
PERIODO G-1013,     C,  0.76,, 1.92,            8,,,,,          ,       4,      0.73,,,     45.604,  4.7,   131, 0.07,0.09,   ,,,   0:30,   1:07
PERIODO G-1037,     C,   0.9,, 0.83,            8,,,,,          ,       8,      0.87,,,     54.140,  2.7,   130,     ,    ,   ,,,,          0:49
PERIODO U-1,        C,      ,,     ,             ,8,,,,         ,        ,       ,,,        0,       0.0,   132,     ,    ,   ,,,,          0:00
PERIODO U2,         C,  0.88,, 0.93,     7.93,,,,,      0.07    ,   3.96,       0.88,,,     52.204,  1.7,  133,  0.01,    ,   ,,,,          0:52
PERIODO TOTAL-TURNO,C,  0.71,,14.02,    47.93,8,,,,   8.07,             ,       0.68,,,     252.866, 3.3,  129,   0:09,   , 8,,,,           4:48
PERIODO TOTAL-CELULA ,, 0.72,,39.38,    142.61,24,,,,   25.39,          ,       0.68,,,     761.946, 5.7,  129,   3:23,2:17, 15.06,,,3.31, 14:00


PERIODO MAJER-FA,   A,  ,,,                     ,8,,,,          ,       ,      ,,,     0,  0.0,   98, ,,   ,,,,   0:00
PERIODO R-2001,     A,  ,,,                     ,8,,,,          ,       ,      ,,,     0,  0.0,   102,,,   ,,,,   0:00
PERIODO R-2002,     A,  0.77,, 1.87,            8,,,,,          ,       4,      0.73,,,     43.667,  2.3,   117, 0.01,,,,,,   0:00
PERIODO R-2003,     A,  0.12,, 6.9,            7.86,,,,,          0.14,       7.86,      0.09,,,     7.752,  21.0,   118, ,5:40,   0.55,,,   0:16,   0:00
PERIODO R-2004,     A,  0.56,, 3.49,            8,,,,,          ,       8,      0.53,,,     30.452,  2.2,   107, ,0.53,   ,,,   1:50,   0:16
PERIODO WK-5,       A,  0.64,, 2.9,            8,,,,,          ,       8,      0.6,,,     69.388,  5.0,   215, 0.07,2:21,   ,0.01,0.10,   ,   0:08
PERIODO TOTAL-TURNO,A,  0.52,,15.14,    31.86,16,,,,   0.14,             ,       ,,,     151.259, 4.6,  160,   0:11,   , 0.55,0.02,0.10,,           0:26

PERIODO MAJER-FA,  B,  ,,,            ,8,,,,          ,       ,      ,,,     0,  0.0,   98, ,,   ,,,   ,   0:00
PERIODO R-2001,     B,  ,,,                     ,8,,,,          ,       ,      ,,,     0,  0.0,   102,,,   ,,,,   0:00
PERIODO R-2002,    B,  0.74,, 2.05,            8,,,,,          ,       8,      0.69,,,     40.430,  2.6,   116, ,0.23,   0.5,,0:26,   ,   0:00
PERIODO R-2003,    B,  0.34,, 5.3,            8,,,,,          ,       8,      0.32,,,     20.172,  2.6,   118, ,1.08, 4:03  ,,0:01,   ,   0:00
PERIODO R-2004,    B,  0.66,, 2.75,            8,,,,,          ,       8,      0.63,,,     34.233,  1.7,   107, ,,   ,,0.21,   2:05,   0:00
PERIODO WK-5,      B,  0.85,, 1.18,            8,,,,,          ,       8,      0.83,,,     80.090,  2.2,   215, ,0.19,   ,,0.13,   ,   0:00
PERIODO TOTAL-TURNO,B,  0.65,,11.28,    32,16,,,,  ,             ,       ,,,     182.925, 2.2,  162,   ,   , 4.54,,1.02,,           0:00

PERIODO MAJER-FA,  C,,,,8,,,,,,,,,0,0.0,98,,,,,,,,0:00
PERIODO R-2001,    C,,,,8,,,,,,,,,0,0.0,102,,,,,,,,0:00
PERIODO R-2002,    C,0.82,,1.43,8,,,,,8,0.76,,,44.247,4.3,117,,,,,,,,0:44
PERIODO R-2003,    C,0.95,,0.35,7.79,,,,0.21,7.79,0.91,,,51680,0.9,117,,,,,,,,0:21
PERIODO R-2004,    C,0.86,,1.06,7.4,,,,0.6,7.4,0.79,,,38733,5.5,107,,0.17,,,,,,0:45
PERIODO WK-5,      C,0.65,,2.72,8,,,,,4,0.58,,,67.231,9.4,215,0.21,0.31,,,,,,0:50
PERIODO TOTAL-TURNO,,0.82,,5.61,31.19,16,,,0.81,,,,,201.891,5.5,148,1:21,0:49,,,,,,2:41

PERIODO G-1024,     A,0.97,,0.27,8,,,,,8,0.94,,,58500,3.8,131,,,,,,,,0:16
PERIODO G-1018,     A,0.79,,1.67,8,,,,,8,0.6,,,34.508,16.4,110,,0:05,0.43,,,,,0:50
PERIODO G-1008,     A,0.84,,1.25,8,,,,,4,0.78,,,50678,7.0,131,0.15,,,,,,,0.34
PERIODO G-1026,     A,0.89,,0.91,8,,,,,4,0.85,,,53288,10.4,131,,,,,,,,0:04
PERIODO G-1029,     A,0.91,,0.71,8,,,,,4,0. Nine,,,56708,-2.3,122,,0.02,,,,,,0:04
PERIODO G-1032,     A,0.96,,0.36,7.09,,,,,0.91,3.54,0.95,,57232,1.4,131,1.17,,,,,,0.27,0:44
PERIODO G-1011,     A,0.95,,0.43,8,,,,,8,0.85,,,53288,10.4,133,,0:07,,,,,,0:06
PERIODO G-1027,     A,0.94,,0.49,8,,,,,8,0.99,,,57232,1.4,129,,,,,,,,0:00
PERIODO TOTAL-TURNO,,0.86,,8.66,64,,,,,,,,,405.723,4.6,128,1:40,,0.43,,,,,2:41

PERIODO G-1024,     B,0.95,,0.43,8,,,,,8,0.85,,,53288,10.4,131,,0:03,,,0:18,,,0:00
PERIODO G-1018,     B,0.93,,0.59,8,,,,,8,0.79,,,45636,6.4,110,,,,,0:19,,,0:00
PERIODO G-1008,     B,0.75,,2.02,8,,,,,4,0.71,,,44984,5.8,131,0.53,0:03,,,0:14,,0:38,0:00
PERIODO G-1026,     B,0.86,,1.08,8,,,,,4,0.81,,,50852,6.3,131,0.06,0:29,,,0:09,,,0:00
PERIODO G-1029,     B,0.85,,1.24,8,,,,,4,0.86,,,53568,-31.1,101,0:08,,,,0:40,,,0:00
PERIODO G-1032,     B,0.66,,2.72,8,,,,,4,0.64,,,37910,6.0,126,1:06,0:09,,,0.23,,0:47,0.12
PERIODO G-1011,     B,0.84,,1.26,8,,,,,8,0.77,,,49468,9.6,133,,0:35,,,0:28,,,0:00
PERIODO G-1027,     B,0.77,,1.87,8,,,,,4,0.78,,,46140,5.3,129,,,,,0:13,,1:21,0:02
PERIODO TOTAL-TURNO,,0.82,,11.21,64,,,,,,,,,381846,3.3,124,2:15,,,,2:37,,,0:15

PERIODO G-1024,    C,0.87,,1.02,8,,,,,8,0.85,,,55508,3.2,132,2:34,,,,0:1,,,0:03
PERIODO G-1018,    C,0.7,,2.39,8,,,,,8,0.55,,,35440,14.2,110,,0:40,,,,,,0:08,
PERIODO G-1008,    C,0.78,,1.74,8,,,,,8,0.74,,,47804,5.1,131,,,,0:06,,,,0:14,
PERIODO G-1026,    C,0.74,,2.04,8,,,,,8,0.71,,,47124,3.9,131,,,,,,,,1:05,
PERIODO G-1029,    C,0.83,,1.4,8,,,,,8,0.8,,,53168,-5.0,120,,,,,,,,0:27,
PERIODO G-1032,    C,0.68,,2.26,7.09,,,,,0.91,3.54,0.7,,36744,5.2,130,0:01,,,,,,,0:07,
PERIODO G-1011,    C,0.9,,0.76,7.53,,,,,0.47,7.53,0.89,,54468,3.1,133,,,,,,,,0:45,
PERIODO G-1027,    C,0.87,,1.04,8,,,,,8,0.9,,,53368,2.9,129,,,,,,,,0:32,
PERIODO TOTAL-TURNO,,0.8,,12.65,62.62,,,,,1.38,,,,1.171.193,3.9,127,4:12,2:13,1:14,0:06,2:38,,3:35,
PERIODO TOTAL-CELULA,,0.83,,32.52,190.62,,,,1.38,,,,,3.334.020,3.9,127,4:12,2:13,1:14,0:06,2.38,,3:35,6:00


PERIODO GR-1017,    A,0.56,,3.5,8,,,,,8,0.48,,,31286,13.0,129,2:34,,,,,,0:12,0:43
PERIODO G-1014,     A,0.82,,1.48,8,,,,,4,0.89,,,0,0.0,131,0:41,,,,,,,0:00
PERIODO G-1025,     A,0.87,,1.07,8,,,,,8,0.66,,,37916,4.3,95,,,,,,,,1:04
PERIODO G-1030,     A,0.82,,1.48,8,,0.42,,,4,0.89,,,47461,5.1,127,,0:41,,,,,,0:42
PERIODO GR-1008,    A,0.84,,1.29,8,,,,,8,0.78,,,46382,9.3,124,,0:26,,,,,,0:50
PERIODO TOTAL-TURNO,,0.77,,7.34,32,,,,,8,,,,163.045,7.7,119,3:13,,,,,,,3:20

PERIODO GR-1017,    B,0.81,,1.55,8,,,,,8,0.77,,,47662,4.2,129,,0:46,,,,,,0:00
PERIODO G-1014,     B,,,,8,,,,,,,,,0,0.0,131,,,,,,,,0:00
PERIODO G-1025,     B,0.86,,1.13,8,,,,,4,0.66,,,38293,2.7,95,0:01,,,,,,,0:12
PERIODO G-1030,     B,0.58,,3.33,8,,,,,4,0.58,,,31824,8.8,121,0:22,,,,,,,0:13
PERIODO GR-1008,    B,0.88,,0.97,8,,,,,8,0.87,,,49920,4.0,124,,,0:09,,,,,0:00
PERIODO TOTAL-TURNO,,0.78,,6.98,32,,,,,8,,,,167699,4.7,118,0:24,,,,,,1:05,0:26

PERIODO GR-1017,    C,0.81,,1.3,6.83,,,,,,,,,42744,1.6,129,0:47,,,,,,,0:03
PERIODO G-1014,     C,,,,,,,,,,,,,,,131,,,,,,,,0:00
PERIODO G-1025,     C,0.86,,1.1,8,,,,,,,,,38530,4.2,95,,0:07,,,,,,0:20
PERIODO G-1030,     C,0.94,,0.48,8,,,,,,,,,57780,2.6,129,,,,,,,,0:07
PERIODO GR-1008,    C,0.94,,0.47,7.69,,,,,,,,,50482,6.1,124,,0:03,,,,,,0:14
PERIODO TOTAL-TURNO  ,,0.89,,3.35,30.52,,8,,,1.48,,,,189536,3.6,121,0:47,0:10,,,,,,0:46
PERIODO TOTAL-CELULA ,,0.81,,17.67,94.52,,24,,,1.48,,,,520.280,5.3,120,4:27,1:33,,,,,0:12,4:00
PERIODO TOTAL-SECCION,,0.79,,105.7,500.19,120,24,,,3.81,,,,2.932.511,4.4,131,12:00,16:23,8:46,0:27,4:45,,9:44,18:00

Graficas OEE
Grafica OEE MAQUINA G-1019 
Grafica caps.totales turno y por célula



<meta name="google-site-verification" content="64zT14bhNAiyx4jzOrlbe6Wd6efBXIs-UI7WD3frNBM" />

